State,TotalC10-11,TotalC11-12,TotalC12-13,TotalC13-14,TotalP10-11,TotalP11-12,TotalP12-13,TotalP13-14,TotalE10-11,TotalE11-12,TotalE12-13,TotalE13-14,TotalPrice10-11,TotalPrice11-12,TotalPrice12-13,TotalPrice13-14
Ohio,-0.8457,-3.6054,2.3011,1.863,3.44,0.0001,7.6725,34.5675,12.264,-2.1975,1.0983,2.6335,13.2013,0.6317,-3.3317,-0.05
West Virginia,-1.6892,-0.7374,3.1383,1.2547,3.26,-2.6171,2.4065,9.0377,13.8495,-0.8677,-0.0559,-2.0581,17.2074,4.4488,-3.0762,-2.4902
Iowa,-0.0504,-3.9307,5.4732,1.5163,2.38,-1.6355,7.7592,3.6334,15.6408,-4.1887,5.1323,3.3692,15.9439,-0.385,-1.0491,1.7857
Kentucky,-3.8068,-1.8246,-1.5834,-3.7064,2.14,-4.8341,-5.5923,-3.8956,16.2275,-2.9934,1.1959,-1.4834,19.8718,1.0695,0.4329,-0.6226
Maine,-0.2824,-3.4364,2.5308,0.1818,1.86,-1.5721,2.0016,-2.6535,17.1151,-3.5255,4.8632,0.6017,16.8354,0.456,-0.7717,3.4767
South Carolina,-2.5568,-2.6915,2.033,2.6174,1.83,-2.2904,6.7888,-2.2492,13.1669,-0.8196,3.7711,0.6432,15.3348,2.2004,0.7329,-1.1369
Vermont,-2.0963,-8.3331,5.4558,1.7233,0.67,-3.3442,7.9624,2.0027,15.7925,0.1458,3.0174,-1.5157,17.3053,4.8098,-3.1164,-2.439
Rhode Island,-4.9065,-0.9971,8.3131,2.6581,0.59,-4.5923,-3.3283,63.8371,5.8918,-1.62,4.2664,4.8827,10.7067,1.6437,-1.4291,0.496
New Mexico,2.8791,-0.3193,0.5577,1.3247,0.25,2.4422,2.2251,6.2228,21.0584,1.4969,1.1789,0.6685,17.4326,2.0842,-2.0833,-0.5532
Tennessee,-2.3082,-5.2131,2.4775,2.9076,0.19,-3.6986,16.247,-8.3343,16.7338,-3.5953,0.8525,2.0032,18.6395,0.9932,-2.861,-1.1965
Missouri,-2.8218,-4.0188,3.6773,3.0491,-0.29,2.7332,-3.7672,4.0817,15.7017,-2.4955,2.9466,0.1927,19.3206,1.6459,-1.2254,-2.7913
North Carolina,-4.7123,-3.0378,1.9987,0.9534,-0.58,-2.0791,8.1193,-1.7755,9.1375,0.2614,3.551,-0.6502,14.5535,2.4548,-1.6814,-1.5819
Minnesota,-0.3417,-1.8308,2.3089,2.8647,-0.85,-1.8213,-2.8029,15.0259,15.9978,-0.3967,2.811,1.731,16.1972,1.7172,-1.3406,-1.1072
Virginia,-4.125,-1.5546,3.0107,0.6514,-1.07,-3.3986,-2.1133,-4.2257,11.9827,2.8214,-0.0471,-1.0798,16.3703,1.9775,-2.8647,-1.7241
Alabama,-1.3624,-1.338,2.1093,2.0244,-1.37,2.3757,2.1123,-7.5101,13.0242,-1.0426,-0.272,0.0808,12.7946,-0.6965,-4.7094,-1.9979
Mississippi,-1.8821,-1.0694,-0.4302,1.5259,-1.64,-4.3341,5.1314,-1.8108,14.0781,0.8296,3.129,0.9789,16.3128,-0.3362,2.7952,-2.5785
Wyoming,3.0412,-1.1438,-2.0059,-0.6555,-1.74,-4.5038,-3.2355,1.385,21.5253,4.1736,-3.4268,5.5874,18.7995,2.8318,-0.594,1.5752
Florida,-3.2914,-2.6996,1.1539,1.1106,-1.82,-4.2217,22.7012,2.0584,12.569,-1.4331,-0.409,0.4615,15.2381,0.5903,-1.6823,-0.8754
Georgia,-3.7839,-7.2195,0.5525,2.4511,-2.19,1.0473,4.6546,2.9037,13.6547,-5.8572,0.2543,-0.5276,17.7534,1.1168,-1.6567,-1.9654
Nebraska,0.2247,-1.1234,2.2077,-0.8566,-2.25,-4.6038,3.7426,8.4141,14.5714,1.4226,1.8248,0.0678,15.7074,2.9534,-2.4157,-0.6704
Connecticut,-3.3779,-1.9091,4.1215,-0.6467,-3.64,4.7402,0.9972,-4.7543,8.7968,-2.3971,1.5714,0.7752,9.797,1.8841,-3.3845,0.5417
Kansas,-1.1442,-2.6617,2.764,2.4606,-3.83,1.4553,4.744,6.0125,14.509,-0.9362,4.9545,3.845,16.6102,3.1008,0.6579,0.1867
Montana,0.3742,-1.648,2.5801,-0.6129,-3.83,-4.7094,9.5363,5.1471,20.196,-2.3184,0.9174,-1.6634,19.0033,0.7363,0.8223,-1.5859
Wisconsin,-0.7359,-3.1763,5.3391,3.0554,-5.13,6.7454,-3.1503,-3.8046,13.8178,-1.7813,3.2709,6.0916,13.474,2.0982,-4.5773,1.5174
Massachusetts,-1.3385,-2.4251,4.779,0.6446,-5.34,7.1086,-3.1503,21.6053,11.9191,-3.5419,4.4135,-0.3876,11.8731,2.8736,-1.3035,-0.5283
Alaska,0.0637,-0.6572,-4.3481,-2.8961,-5.54,-3.4038,-3.1503,-2.5584,24.3516,-2.0608,-7.6428,-5.3736,23.7457,0.7226,-1.953,-0.6911
New Hampshire,-0.5073,-2.8975,7.047,1.8402,-5.88,-1.5085,28.0145,-3.1835,16.1632,-1.9913,2.8232,3.9584,14.3742,3.3225,-2.5516,-0.0717
